2026-04-23 00:48:03 | INFO     | FPS=22.9 | EAR=0.358 | Closed=False | InfTime=35.1ms | Alarms=0
2026-04-23 00:48:03 | INFO     | FPS=23.3 | EAR=0.333 | Closed=False | InfTime=32.2ms | Alarms=0
2026-04-23 00:48:03 | INFO     | FPS=21.9 | EAR=0.335 | Closed=False | InfTime=30.4ms | Alarms=0
2026-04-23 00:48:03 | INFO     | FPS=15.4 | EAR=0.335 | Closed=False | InfTime=43.2ms | Alarms=0
2026-04-23 00:48:03 | INFO     | FPS=16.7 | EAR=0.358 | Closed=False | InfTime=44.6ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=15.7 | EAR=0.332 | Closed=False | InfTime=39.6ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=16.1 | EAR=0.347 | Closed=False | InfTime=38.6ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=18.0 | EAR=0.347 | Closed=False | InfTime=32.6ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=15.1 | EAR=0.360 | Closed=False | InfTime=43.3ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=16.1 | EAR=0.363 | Closed=False | InfTime=42.4ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=17.1 | EAR=0.344 | Closed=False | InfTime=38.8ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=19.5 | EAR=0.344 | Closed=False | InfTime=32.4ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=21.7 | EAR=0.336 | Closed=False | InfTime=33.8ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=20.0 | EAR=0.357 | Closed=False | InfTime=34.4ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=22.1 | EAR=0.331 | Closed=False | InfTime=32.2ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=18.4 | EAR=0.331 | Closed=False | InfTime=36.3ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=18.4 | EAR=0.342 | Closed=False | InfTime=37.8ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=16.3 | EAR=0.364 | Closed=False | InfTime=40.3ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=21.4 | EAR=0.364 | Closed=False | InfTime=32.5ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=18.7 | EAR=0.354 | Closed=False | InfTime=35.3ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=23.3 | EAR=0.354 | Closed=False | InfTime=34.0ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=20.3 | EAR=0.326 | Closed=False | InfTime=35.9ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=23.1 | EAR=0.326 | Closed=False | InfTime=35.3ms | Alarms=0
2026-04-23 00:48:04 | INFO     | FPS=22.2 | EAR=0.346 | Closed=False | InfTime=32.9ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=21.0 | EAR=0.346 | Closed=False | InfTime=31.7ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=22.6 | EAR=0.346 | Closed=False | InfTime=32.3ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=15.8 | EAR=0.293 | Closed=False | InfTime=38.8ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=17.9 | EAR=0.305 | Closed=False | InfTime=32.0ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=19.2 | EAR=0.305 | Closed=False | InfTime=33.5ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=18.3 | EAR=0.305 | Closed=False | InfTime=35.8ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=16.8 | EAR=0.275 | Closed=False | InfTime=38.9ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=17.5 | EAR=0.281 | Closed=False | InfTime=38.2ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=22.5 | EAR=0.262 | Closed=False | InfTime=30.5ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=20.9 | EAR=0.262 | Closed=False | InfTime=35.2ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=15.4 | EAR=0.304 | Closed=False | InfTime=37.4ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=21.3 | EAR=0.290 | Closed=False | InfTime=38.2ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=20.8 | EAR=0.282 | Closed=False | InfTime=32.6ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=19.7 | EAR=0.282 | Closed=False | InfTime=30.7ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=19.4 | EAR=0.292 | Closed=False | InfTime=32.9ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=22.4 | EAR=0.292 | Closed=False | InfTime=30.9ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=22.6 | EAR=0.256 | Closed=False | InfTime=32.5ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=16.2 | EAR=0.256 | Closed=False | InfTime=38.6ms | Alarms=0
2026-04-23 00:48:05 | INFO     | FPS=19.8 | EAR=0.274 | Closed=False | InfTime=32.7ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=19.5 | EAR=0.287 | Closed=False | InfTime=37.0ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=19.6 | EAR=0.287 | Closed=False | InfTime=32.2ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=21.0 | EAR=0.295 | Closed=False | InfTime=31.6ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=14.9 | EAR=0.322 | Closed=False | InfTime=33.9ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=15.4 | EAR=0.322 | Closed=False | InfTime=37.8ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=21.5 | EAR=0.322 | Closed=False | InfTime=37.0ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=16.5 | EAR=0.304 | Closed=False | InfTime=34.6ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=16.6 | EAR=0.319 | Closed=False | InfTime=37.0ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=23.1 | EAR=0.323 | Closed=False | InfTime=36.5ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=20.7 | EAR=0.323 | Closed=False | InfTime=33.5ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=23.9 | EAR=0.320 | Closed=False | InfTime=35.3ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=21.0 | EAR=0.320 | Closed=False | InfTime=31.2ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=21.7 | EAR=0.313 | Closed=False | InfTime=31.6ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=21.2 | EAR=0.333 | Closed=False | InfTime=36.9ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=9.1 | EAR=0.351 | Closed=False | InfTime=90.5ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=22.5 | EAR=0.348 | Closed=False | InfTime=32.0ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=23.4 | EAR=0.348 | Closed=False | InfTime=32.9ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=16.2 | EAR=0.350 | Closed=False | InfTime=38.0ms | Alarms=0
2026-04-23 00:48:06 | INFO     | FPS=23.2 | EAR=0.352 | Closed=False | InfTime=32.2ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=16.5 | EAR=0.354 | Closed=False | InfTime=36.6ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=18.9 | EAR=0.354 | Closed=False | InfTime=35.3ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=17.9 | EAR=0.354 | Closed=False | InfTime=35.7ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=17.8 | EAR=0.363 | Closed=False | InfTime=36.3ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=18.1 | EAR=0.334 | Closed=False | InfTime=35.3ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=18.5 | EAR=0.334 | Closed=False | InfTime=34.7ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=19.6 | EAR=0.333 | Closed=False | InfTime=30.9ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=16.6 | EAR=0.333 | Closed=False | InfTime=38.1ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=16.4 | EAR=0.358 | Closed=False | InfTime=37.3ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=24.7 | EAR=0.354 | Closed=False | InfTime=33.9ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=21.7 | EAR=0.354 | Closed=False | InfTime=31.2ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=21.9 | EAR=0.345 | Closed=False | InfTime=32.9ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=16.0 | EAR=0.345 | Closed=False | InfTime=40.3ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=23.5 | EAR=0.344 | Closed=False | InfTime=32.5ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=22.0 | EAR=0.346 | Closed=False | InfTime=31.3ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=12.1 | EAR=0.372 | Closed=False | InfTime=32.7ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=18.9 | EAR=0.372 | Closed=False | InfTime=35.0ms | Alarms=0
2026-04-23 00:48:07 | INFO     | FPS=19.1 | EAR=0.372 | Closed=False | InfTime=35.5ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=21.2 | EAR=0.362 | Closed=False | InfTime=36.5ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=12.3 | EAR=0.363 | Closed=False | InfTime=38.3ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=18.2 | EAR=0.363 | Closed=False | InfTime=33.4ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=18.7 | EAR=0.349 | Closed=False | InfTime=34.1ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=23.8 | EAR=0.349 | Closed=False | InfTime=33.1ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=22.0 | EAR=0.341 | Closed=False | InfTime=34.9ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=18.0 | EAR=0.333 | Closed=False | InfTime=35.4ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=19.3 | EAR=0.333 | Closed=False | InfTime=31.4ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=21.6 | EAR=0.361 | Closed=False | InfTime=29.9ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=14.8 | EAR=0.331 | Closed=False | InfTime=34.5ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=14.7 | EAR=0.344 | Closed=False | InfTime=32.1ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=19.5 | EAR=0.344 | Closed=False | InfTime=32.1ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=22.1 | EAR=0.344 | Closed=False | InfTime=32.4ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=24.9 | EAR=0.344 | Closed=False | InfTime=33.5ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=16.4 | EAR=0.344 | Closed=False | InfTime=36.6ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=19.3 | EAR=0.323 | Closed=False | InfTime=32.2ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=18.1 | EAR=0.315 | Closed=False | InfTime=34.6ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=24.5 | EAR=0.315 | Closed=False | InfTime=32.9ms | Alarms=0
2026-04-23 00:48:08 | INFO     | FPS=19.6 | EAR=0.364 | Closed=False | InfTime=31.1ms | Alarms=0
2026-04-23 00:48:09 | INFO     | FPS=20.7 | EAR=0.342 | Closed=False | InfTime=36.6ms | Alarms=0
2026-04-23 00:48:09 | INFO     | FPS=13.1 | EAR=0.344 | Closed=False | InfTime=44.2ms | Alarms=0
2026-04-23 00:48:09 | INFO     | FPS=16.3 | EAR=0.342 | Closed=False | InfTime=45.7ms | Alarms=0
2026-04-23 00:48:09 | INFO     | FPS=19.9 | EAR=0.342 | Closed=False | InfTime=40.2ms | Alarms=0
2026-04-23 00:48:09 | INFO     | FPS=21.3 | EAR=0.320 | Closed=False | InfTime=37.5ms | Alarms=0
